id,title,category,tags,description,rating
25,Digital Marketing Strategist,digital marketing,"[""email marketing"", ""google ads"", ""social media""]","Results-driven marketer with hands-on experience in google ads, email marketing, social media. I help businesses grow their online presence and maximize ROI through data-backed strategies.",3.9
26,Flutter Mobile App Developer,mobile development,"[""ios"", ""firebase"", ""flutter""]","Mobile developer skilled in ios, flutter, firebase. I build smooth, user-friendly apps for both Android and iOS with clean architecture and great UX.",3.7
27,React Native App Developer,mobile development,"[""ios"", ""react native"", ""dart"", ""flutter""]","Mobile developer skilled in react native, flutter, ios. I build smooth, user-friendly apps for both Android and iOS with clean architecture and great UX.",3.9
28,Android App Developer (Kotlin),mobile development,"[""android"", ""ios"", ""firebase"", ""app development""]","Mobile developer skilled in ios, android, app development. I build smooth, user-friendly apps for both Android and iOS with clean architecture and great UX.",5.0
29,iOS App Developer (Swift),mobile development,"[""app development"", ""firebase"", ""flutter"", ""android"", ""dart""]","Mobile developer skilled in app development, android, flutter. I build smooth, user-friendly apps for both Android and iOS with clean architecture and great UX.",3.6
30,Cross-Platform Mobile Developer,mobile development,"[""flutter"", ""react native"", ""dart"", ""firebase"", ""android""]","Mobile developer skilled in react native, firebase, flutter. I build smooth, user-friendly apps for both Android and iOS with clean architecture and great UX.",4.4
31,Data Analyst & Visualization Expert,data science,"[""pandas"", ""python"", ""visualization""]","Analytical professional with deep expertise in visualization, python, pandas. I turn raw data into actionable insights and build intelligent models that solve real problems.",4.5
32,Machine Learning Engineer,data science,"[""machine learning"", ""data analysis"", ""visualization"", ""nlp""]","Analytical professional with deep expertise in visualization, data analysis, nlp. I turn raw data into actionable insights and build intelligent models that solve real problems.",3.5
33,NLP & AI Solutions Developer,data science,"[""pandas"", ""python"", ""tensorflow"", ""machine learning"", ""data analysis""]","Analytical professional with deep expertise in tensorflow, python, machine learning. I turn raw data into actionable insights and build intelligent models that solve real problems.",4.8
34,Python Data Scientist,data science,"[""data analysis"", ""machine learning"", ""visualization"", ""nlp""]","Analytical professional with deep expertise in data analysis, visualization, machine learning. I turn raw data into actionable insights and build intelligent models that solve real problems.",4.9
35,Business Intelligence Analyst,data science,"[""data analysis"", ""python"", ""tensorflow""]","Analytical professional with deep expertise in tensorflow, data analysis, python. I turn raw data into actionable insights and build intelligent models that solve real problems.",4.4
36,Professional Portrait Photographer,photography,"[""wedding"", ""product"", ""commercial"", ""editing"", ""photoshop""]","Professional photographer with a keen eye for wedding, photoshop, commercial. I deliver stunning, high-resolution images with expert post-processing and attention to detail.",4.7
37,Product & E-commerce Photographer,photography,"[""portrait"", ""wedding"", ""product""]","Professional photographer with a keen eye for product, wedding, portrait. I deliver stunning, high-resolution images with expert post-processing and attention to detail.",4.3
38,Wedding & Event Photographer,photography,"[""lightroom"", ""portrait"", ""photoshop"", ""commercial""]","Professional photographer with a keen eye for portrait, photoshop, lightroom. I deliver stunning, high-resolution images with expert post-processing and attention to detail.",4.4
39,Commercial Photography & Editing,photography,"[""editing"", ""product"", ""portrait""]","Professional photographer with a keen eye for product, portrait, editing. I deliver stunning, high-resolution images with expert post-processing and attention to detail.",3.8
40,Photo Retouching Specialist,photography,"[""photoshop"", ""portrait"", ""wedding""]","Professional photographer with a keen eye for wedding, portrait, photoshop. I deliver stunning, high-resolution images with expert post-processing and attention to detail.",4.8
41,Professional English Voice Over Artist,voice over,"[""audiobook"", ""narration"", ""commercial""]","Versatile voice artist specializing in commercial, narration, audiobook. I deliver clear, expressive recordings with professional studio-quality sound for any project.",3.9
42,Commercial & Ad Voice Over,voice over,"[""narration"", ""audiobook"", ""dubbing"", ""english"", ""animation""]","Versatile voice artist specializing in audiobook, english, animation. I deliver clear, expressive recordings with professional studio-quality sound for any project.",4.7
43,Audiobook Narrator,voice over,"[""commercial"", ""narration"", ""dubbing""]","Versatile voice artist specializing in narration, dubbing, commercial. I deliver clear, expressive recordings with professional studio-quality sound for any project.",5.0
44,Podcast Intro & Outro Voice Artist,voice over,"[""podcast"", ""english"", ""animation"", ""audiobook""]","Versatile voice artist specializing in animation, podcast, audiobook. I deliver clear, expressive recordings with professional studio-quality sound for any project.",3.8
45,Animation Character Voice Over,voice over,"[""narration"", ""dubbing"", ""animation"", ""audiobook""]","Versatile voice artist specializing in animation, audiobook, dubbing. I deliver clear, expressive recordings with professional studio-quality sound for any project.",4.4
46,English to Arabic Translator,translation,"[""arabic"", ""urdu"", ""spanish"", ""technical"", ""french""]","Certified translator fluent in arabic, technical, french. I provide accurate, culturally sensitive translations for documents, websites, and business communications.",4.0
47,Technical Document Translator,translation,"[""document"", ""spanish"", ""french""]","Certified translator fluent in french, document, spanish. I provide accurate, culturally sensitive translations for documents, websites, and business communications.",4.5
48,Legal Translation Specialist,translation,"[""legal"", ""document"", ""french"", ""spanish""]","Certified translator fluent in document, legal, spanish. I provide accurate, culturally sensitive translations for documents, websites, and business communications.",4.5
49,English to Urdu Translator,translation,"[""spanish"", ""urdu"", ""technical""]","Certified translator fluent in spanish, urdu, technical. I provide accurate, culturally sensitive translations for documents, websites, and business communications.",4.1
50,Spanish & English Translator,translation,"[""document"", ""urdu"", ""legal"", ""technical"", ""arabic""]","Certified translator fluent in arabic, technical, legal. I provide accurate, culturally sensitive translations for documents, websites, and business communications.",4.5
